wikidata_uri,codistat,lat,lon
http://www.wikidata.org/entity/Q10205,001204,44.904484,7.2114
http://www.wikidata.org/entity/Q10207,001205,44.865792,7.268223
http://www.wikidata.org/entity/Q10208,001206,45.367754,7.616915
http://www.wikidata.org/entity/Q10209,001207,45.352753,7.596015
http://www.wikidata.org/entity/Q10211,001208,45.426757,7.781617
http://www.wikidata.org/entity/Q10212,001209,45.524529,7.833132
http://www.wikidata.org/entity/Q10213,001210,45.56296,7.807315
http://www.wikidata.org/entity/Q10215,001211,45.052056,7.430403
http://www.wikidata.org/entity/Q10217,001212,45.43204,7.50195
http://www.wikidata.org/entity/Q10221,001213,45.11835,7.888125
http://www.wikidata.org/entity/Q10222,001214,45.034045,7.518419
http://www.wikidata.org/entity/Q10219,001215,44.986444,7.869471
http://www.wikidata.org/entity/Q10224,001216,45.332553,7.632916
http://www.wikidata.org/entity/Q10226,001217,45.331216,7.717134
http://www.wikidata.org/entity/Q10229,001218,45.250497,7.717727
http://www.wikidata.org/entity/Q10231,001219,45.069715,7.517676
http://www.wikidata.org/entity/Q10232,001220,45.200049,7.568917
http://www.wikidata.org/entity/Q10234,001221,45.308854,7.575863
http://www.wikidata.org/entity/Q10236,001222,44.924692,7.331324
http://www.wikidata.org/entity/Q10237,001223,45.388657,7.86652
http://www.wikidata.org/entity/Q10239,001224,45.499737,7.546855
http://www.wikidata.org/entity/Q10241,001225,45.246775,7.965426
http://www.wikidata.org/entity/Q10242,001226,44.792136,7.199017
http://www.wikidata.org/entity/Q10245,001227,45.001413,7.129432
http://www.wikidata.org/entity/Q10243,001228,45.067945,7.465117
http://www.wikidata.org/entity/Q10246,001229,45.137946,7.38483
http://www.wikidata.org/entity/Q10247,001230,45.468258,7.754616
http://www.wikidata.org/entity/Q10248,001231,45.358526,7.689239
http://www.wikidata.org/entity/Q10250,001232,45.07204,6.883205
http://www.wikidata.org/entity/Q10252,001233,45.458058,7.851118
http://www.wikidata.org/entity/Q10254,001234,44.940652,7.053245
http://www.wikidata.org/entity/Q10255,001235,45.450554,7.845243
http://www.wikidata.org/entity/Q10256,001236,45.227052,7.785021
http://www.wikidata.org/entity/Q10258,001237,45.247826,7.610843
http://www.wikidata.org/entity/Q10260,001238,45.382254,7.621015
http://www.wikidata.org/entity/Q10262,001239,45.135444,7.213011
http://www.wikidata.org/entity/Q10263,001240,45.226467,7.657165
http://www.wikidata.org/entity/Q10284,001241,45.026144,7.448118
http://www.wikidata.org/entity/Q10264,001242,44.89855,7.241175
http://www.wikidata.org/entity/Q10265,001243,45.142748,7.535817
http://www.wikidata.org/entity/Q10268,001244,45.334155,7.796819
http://www.wikidata.org/entity/Q10271,001245,45.127982,7.177985
http://www.wikidata.org/entity/Q10272,001246,45.316666666,7.816666666
http://www.wikidata.org/entity/Q10273,001247,45.4,7.816666666
http://www.wikidata.org/entity/Q10275,001248,45.21705,7.63052
http://www.wikidata.org/entity/Q10276,001249,45.103888888,7.753611111
http://www.wikidata.org/entity/Q10277,001250,44.9338859,7.292996
http://www.wikidata.org/entity/Q10278,001251,45.35,7.666666666
http://www.wikidata.org/entity/Q10279,001252,45.15,7.85
http://www.wikidata.org/entity/Q10280,001253,45.1612591,7.94167195
http://www.wikidata.org/entity/Q10281,001254,44.866666666,7.3
http://www.wikidata.org/entity/Q10291,001255,45.1,7.366666666
http://www.wikidata.org/entity/Q10292,001256,45.107069444,7.272266666
http://www.wikidata.org/entity/Q10293,001257,44.95,7.783333333
http://www.wikidata.org/entity/Q10297,001258,44.933333333,6.866666666
http://www.wikidata.org/entity/Q10295,001259,45.026666666,6.858055555
http://www.wikidata.org/entity/Q10298,001260,44.8927,7.493611111
http://www.wikidata.org/entity/Q10299,001261,45.383333333,7.833333333
http://www.wikidata.org/entity/Q10301,001262,45.1,7.883333333
http://www.wikidata.org/entity/Q10302,001263,44.958226,6.878825
http://www.wikidata.org/entity/Q10303,001264,45.4,8.0
http://www.wikidata.org/entity/Q10304,001265,45.133333333,7.766666666
http://www.wikidata.org/entity/Q10306,001266,45.55,7.833333333
http://www.wikidata.org/entity/Q10307,001267,45.416666666,7.55
http://www.wikidata.org/entity/Q10309,001268,45.423058091,7.768562579
http://www.wikidata.org/entity/Q10310,001269,45.383333333,7.883333333
http://www.wikidata.org/entity/Q10311,001270,45.133333,7.05
http://www.wikidata.org/entity/Q10312,001271,45.55,7.816666666
http://www.wikidata.org/entity/Q495,001272,45.079166666,7.676111111
http://www.wikidata.org/entity/Q10314,001273,45.216666666,7.966666666
http://www.wikidata.org/entity/Q10316,001274,45.39912015,7.7558122
http://www.wikidata.org/entity/Q10318,001275,44.820277777,7.223333333
http://www.wikidata.org/entity/Q10320,001276,45.033333333,7.416666666
http://www.wikidata.org/entity/Q10323,001278,45.516666666,7.75
http://www.wikidata.org/entity/Q10324,001279,45.266666666,7.433333333
http://www.wikidata.org/entity/Q10325,001280,44.9771252,7.7438032
http://www.wikidata.org/entity/Q10326,001281,45.05,7.033333333
http://www.wikidata.org/entity/Q10328,001282,45.233333333,7.216666666
http://www.wikidata.org/entity/Q10330,001283,45.10234,7.28941
http://www.wikidata.org/entity/Q8968,001284,45.15515,7.44502
http://www.wikidata.org/entity/Q10331,001285,45.083333333,7.333333333
http://www.wikidata.org/entity/Q10334,001286,45.22886315,7.4862004
http://www.wikidata.org/entity/Q10335,001287,45.366666666,7.65
http://www.wikidata.org/entity/Q10336,001288,45.516666666,7.55
http://www.wikidata.org/entity/Q10337,001289,45.210057067,7.489448448
http://www.wikidata.org/entity/Q10338,001290,45.28014625,7.6255833
http://www.wikidata.org/entity/Q10342,001291,45.15,7.016666666
http://www.wikidata.org/entity/Q10339,001292,45.116666666,7.633333333
http://www.wikidata.org/entity/Q10343,001293,45.183333333,7.966666666
