wikidata_uri,codistat
http://www.wikidata.org/entity/Q10256,001236
http://www.wikidata.org/entity/Q10258,001237
http://www.wikidata.org/entity/Q10260,001238
http://www.wikidata.org/entity/Q10262,001239
http://www.wikidata.org/entity/Q10263,001240
http://www.wikidata.org/entity/Q10284,001241
http://www.wikidata.org/entity/Q10264,001242
http://www.wikidata.org/entity/Q10265,001243
http://www.wikidata.org/entity/Q10268,001244
http://www.wikidata.org/entity/Q10271,001245
http://www.wikidata.org/entity/Q10272,001246
http://www.wikidata.org/entity/Q10273,001247
http://www.wikidata.org/entity/Q10275,001248
http://www.wikidata.org/entity/Q10276,001249
http://www.wikidata.org/entity/Q10277,001250
http://www.wikidata.org/entity/Q10278,001251
http://www.wikidata.org/entity/Q10279,001252
http://www.wikidata.org/entity/Q10280,001253
http://www.wikidata.org/entity/Q10281,001254
http://www.wikidata.org/entity/Q10291,001255
http://www.wikidata.org/entity/Q10292,001256
http://www.wikidata.org/entity/Q10293,001257
http://www.wikidata.org/entity/Q10297,001258
http://www.wikidata.org/entity/Q10295,001259
http://www.wikidata.org/entity/Q10298,001260
http://www.wikidata.org/entity/Q10299,001261
http://www.wikidata.org/entity/Q10301,001262
http://www.wikidata.org/entity/Q10302,001263
http://www.wikidata.org/entity/Q10303,001264
http://www.wikidata.org/entity/Q10304,001265
http://www.wikidata.org/entity/Q10306,001266
http://www.wikidata.org/entity/Q10307,001267
http://www.wikidata.org/entity/Q10309,001268
http://www.wikidata.org/entity/Q10310,001269
http://www.wikidata.org/entity/Q10311,001270
http://www.wikidata.org/entity/Q10312,001271
http://www.wikidata.org/entity/Q495,001272
http://www.wikidata.org/entity/Q10314,001273
http://www.wikidata.org/entity/Q10316,001274
http://www.wikidata.org/entity/Q10318,001275
http://www.wikidata.org/entity/Q10320,001276
http://www.wikidata.org/entity/Q10323,001278
http://www.wikidata.org/entity/Q10324,001279
http://www.wikidata.org/entity/Q10325,001280
http://www.wikidata.org/entity/Q10326,001281
http://www.wikidata.org/entity/Q10328,001282
http://www.wikidata.org/entity/Q10330,001283
http://www.wikidata.org/entity/Q8968,001284
http://www.wikidata.org/entity/Q10331,001285
http://www.wikidata.org/entity/Q10334,001286
http://www.wikidata.org/entity/Q10335,001287
http://www.wikidata.org/entity/Q10336,001288
http://www.wikidata.org/entity/Q10337,001289
http://www.wikidata.org/entity/Q10338,001290
http://www.wikidata.org/entity/Q10342,001291
http://www.wikidata.org/entity/Q10339,001292
http://www.wikidata.org/entity/Q10343,001293
http://www.wikidata.org/entity/Q10344,001294
http://www.wikidata.org/entity/Q10346,001295
http://www.wikidata.org/entity/Q10347,001296
http://www.wikidata.org/entity/Q10349,001298
http://www.wikidata.org/entity/Q10350,001299
http://www.wikidata.org/entity/Q10351,001300
http://www.wikidata.org/entity/Q10352,001301
